instanceId,costs,duration,effective,waiting,offTime
0,4884707.0,246079,242479,3600,0
1,4560409.0,32925060,222682,32471978,230400
2,1419684.0,276300,66610,209690,0
3,1845949.0,26748988,87099,26661889,0
4,3372860.0,14145996,165459,13750137,230400
5,1919656.0,15170603,92852,14847351,230400
6,1723687.0,19607952,81996,19525956,0
7,3102484.0,22524428,150212,22374216,0
8,4831744.0,1229042,238354,760288,230400
9,4044809.0,32145872,197184,31718288,230400
10,4619858.0,24231758,228207,23773151,230400
11,2498433.0,8075480,121471,7954009,0
12,2299649.0,24440976,111155,24329821,0
13,4477414.0,28457802,222528,27774474,460800
14,2640921.0,17590848,127250,17233198,230400
15,4453728.0,26980564,219934,26760630,0
16,1422053.0,31773828,65329,31708499,0
17,2159160.0,28077964,103333,27974631,0
18,2452750.0,6197029,118004,6079025,0
19,793598.0,9769590,36000,9733590,0
20,4715120.0,6351781,233721,6118060,0
21,3066268.0,3676967,150179,3296388,230400
22,2223766.0,14885459,106206,14779253,0
23,1057196.0,1957255,49104,1908151,0
24,3543911.0,3351445,174254,2946791,230400
25,4106010.0,5157917,203174,4724343,230400
26,1142640.0,1413647,52572,1361075,0
27,5123087.0,29698312,252625,29215287,230400
28,2836488.0,15416192,138792,15277400,0
29,2767780.0,30944222,132283,30811939,0
30,3570021.0,20569770,173850,20165520,230400
31,4625894.0,8706713,230380,8476333,0
32,3025019.0,370072,147998,222074,0
33,4341268.0,1935283,214530,1490353,230400
34,2248486.0,12381736,109026,12272710,0
35,2332866.0,7001661,112617,6889044,0
36,3296541.0,14245755,160764,14084991,0
37,4557177.0,1565181,226263,1108518,230400
38,2446777.0,12165017,118702,11585515,460800
39,5310880.0,33460596,262388,33198208,0
40,4203512.0,26268532,206666,26061866,0
41,4014150.0,10415627,198342,9756485,460800
42,1500407.0,3070812,70662,3000150,0
43,4361837.0,22434568,215847,21988321,230400
44,2274970.0,34043428,107934,33705094,230400
45,1138250.0,31792220,51247,31510573,230400
46,2958645.0,25051020,142216,24908804,0
47,3112273.0,31534666,151431,31152835,230400
48,2427316.0,6825872,117605,6477867,230400
49,4209252.0,33986116,204621,33551095,230400
50,1813486.0,11152603,86602,11066001,0
51,5343901.0,6756805,264559,6261846,230400
52,861693.0,28468008,38436,28429572,0
53,2297787.0,2624233,110194,2514039,0
54,3337044.0,8508218,162327,8115491,230400
55,2437904.0,13915724,118373,13336551,460800
56,2148428.0,17822652,103595,17719057,0
57,2529726.0,30350128,122195,30227933,0
58,4164169.0,2478728,205967,2042361,230400
59,1848203.0,23063782,88162,22975620,0
60,1288508.0,20060878,60472,20000406,0
61,2549435.0,22753968,123207,22630761,0
62,2679981.0,24374924,129836,24245088,0
63,3981858.0,8001706,196117,7805589,0
64,4432730.0,15877298,218690,15658608,0
65,3898254.0,1350682,191469,1159213,0
66,4281861.0,20787506,211194,20576312,0
67,2817074.0,2561389,136692,2424697,0
68,776546.0,9784130,35443,9748687,0
69,2472683.0,31745512,118326,31627186,0
70,1539690.0,1390623,73633,1316990,0
71,3858815.0,20011460,190780,19590280,230400
72,3776883.0,27830344,185772,27414172,230400
73,2772440.0,17286926,135972,17150954,0
74,862996.0,17761618,38768,17722850,0
75,2297125.0,30870366,110333,30299233,460800
76,4426590.0,4578903,217827,4130676,230400
77,4845649.0,9758906,240533,9057573,460800
78,3910829.0,25599938,192224,25407714,0
79,3439277.0,20891938,167977,20723961,0
80,3267237.0,10053981,158793,9895188,0
81,4572324.0,21390062,226869,21163193,0
82,1188426.0,25072354,54026,25018328,0
83,2395556.0,12447082,114823,12332259,0
84,1297674.0,17747740,61312,17686428,0
85,4872851.0,15330033,240929,14858704,230400
86,3692191.0,17200592,181302,16788890,230400
87,1700820.0,21239366,80250,21159116,0
88,2667419.0,15984491,130516,15853975,0
89,3819371.0,30467830,186737,30281093,0
90,1269580.0,27857592,58995,27798597,0
91,5409209.0,22017496,266602,21520494,230400
92,2497254.0,20137782,122055,20015727,0
93,4816423.0,13473769,238914,13234855,0
94,2402682.0,7302679,116631,6955648,230400
95,3792487.0,18174962,186752,17757810,230400
96,1117219.0,14575746,52277,14523469,0
97,2383021.0,18380748,115961,18264787,0
98,4730416.0,4439397,234102,4205295,0
99,4671024.0,12871640,228211,12643429,0
100,2817253.0,33288652,136193,32691659,460800
101,1791394.0,14550396,85937,14234059,230400
102,4743439.0,17086172,235308,16620464,230400
103,4666500.0,16700538,230214,16470324,0
104,2080512.0,4870054,100984,4308270,460800
105,3850479.0,18890928,187744,18472784,230400
106,2625450.0,21513084,127867,21385217,0
107,1372487.0,23016072,64305,22721367,230400
108,1693380.0,3192562,80573,3111989,0
109,1593693.0,8550480,76243,8243837,230400
110,5240636.0,5664165,260725,5403440,0
111,4681577.0,12317669,231427,12086242,0
112,4821549.0,25758722,239082,25519640,0
113,1138935.0,14271053,53352,14217701,0
114,1834036.0,24925504,87929,24837575,0
115,2118069.0,14039901,98401,13941500,0
116,2946325.0,24528512,143355,24385157,0
117,3479219.0,23774396,169980,23374016,230400
118,5393353.0,29166780,266406,28439574,460800
119,2940010.0,26835352,142577,26692775,0
120,2682000.0,10612540,130023,10482517,0
121,2603520.0,13993195,126699,13866496,0
122,1011991.0,5022429,45921,4976508,0
123,2764834.0,32384804,132053,32252751,0
124,2252051.0,32976824,105299,32641125,230400
125,1016246.0,20030864,46679,19984185,0
126,3827205.0,10536057,187943,10348114,0
127,4242222.0,3035155,209893,2594862,230400
128,4916927.0,763482,243812,289270,230400
129,1774352.0,3238750,84566,3154184,0
130,2626494.0,3149311,127731,3021580,0
131,3002391.0,23667882,146408,23060674,460800
132,2510256.0,21198324,122504,20845420,230400
133,1654333.0,22060354,79489,21980865,0
134,3736223.0,16502430,184271,16318159,0
135,4345687.0,13315006,214672,12869934,230400
136,3426363.0,8177983,166626,8011357,0
137,4907980.0,18776090,244108,18301582,230400
138,5207497.0,11558995,258994,11069601,230400
139,4676550.0,28761104,229367,28301337,230400
140,4265737.0,5005255,209503,4795752,0
141,4516965.0,28614572,222874,28391698,0
142,2191994.0,13613636,105764,13507872,0
143,4254113.0,31075552,208373,30867179,0
144,1730270.0,24968568,81978,24886590,0
145,3393634.0,8809418,166132,8643286,0
146,3293085.0,32709546,159225,32319921,230400
147,2747195.0,11085396,133024,10952372,0
148,1419657.0,27890980,66660,27824320,0
149,5131681.0,23235582,254949,22980633,0
150,2460981.0,24296830,118080,24178750,0
151,2599159.0,5463827,125947,5107480,230400
152,888320.0,12942131,40264,12901867,0
153,3351070.0,27311912,163327,26687785,460800
154,954718.0,11104196,43929,11060267,0
155,4647147.0,26136300,229160,25676740,230400
156,3999257.0,19020124,197262,18592462,230400
157,1561980.0,29779192,72398,29706794,0
158,1793605.0,16550449,85848,16464601,0
159,5259322.0,7875958,261229,7384329,230400
160,2275968.0,34097192,106659,33990533,0
161,3003049.0,17716556,146760,17569796,0
162,4988826.0,16383932,248484,15905048,230400
163,1433333.0,7403088,66139,7336949,0
164,3205120.0,19119022,156969,18962053,0
165,2307915.0,7470032,111652,7358380,0
166,1852574.0,12727660,88796,12408464,230400
167,1725534.0,21434208,82545,21351663,0
168,2423468.0,27958288,116443,27841845,0
169,4292170.0,31211292,210848,31000444,0
170,1152830.0,33474084,51062,33423022,0
171,2486647.0,7373564,120096,7253468,0
172,1676309.0,19654252,80535,19573717,0
173,4324567.0,29303570,212809,29090761,0
174,5089962.0,11724022,252265,11471757,0
175,3657958.0,30277980,178725,29868855,230400
176,2203056.0,28019656,106322,27913334,0
177,3439219.0,6935359,169159,6766200,0
178,1571090.0,31678414,74001,31604413,0
179,3708013.0,24875824,182011,24463413,230400
180,5190683.0,27480754,256354,27224400,0
181,2146817.0,19494530,104245,19390285,0
182,4226827.0,18309856,208049,18101807,0
183,2671546.0,843163,130349,712814,0
184,5377331.0,9370019,265932,8873687,230400
185,1250473.0,30576276,58059,30057417,460800
186,4749383.0,22683214,236061,22447153,0
187,5042887.0,14744534,250338,14494196,0
188,1018675.0,5682137,46858,5635279,0
189,1118747.0,5487544,51933,5435611,0
190,2764860.0,5763548,134055,5629493,0
191,2594424.0,20648900,126792,20522108,0
192,4880325.0,33632992,241291,33391701,0
193,1318502.0,20161468,59870,20101598,0
194,3624190.0,23346600,177686,23168914,0
195,3796416.0,3799494,187369,3612125,0
196,2466444.0,20231604,119010,19882194,230400
197,3703413.0,31640666,178846,31461820,0
198,4148150.0,3927584,203080,3724504,0
199,3922042.0,4285350,193889,3861061,230400
200,2798809.0,32785192,133972,32420820,230400
201,2667479.0,13551645,129810,13421835,0
202,5212884.0,9958748,258938,9699810,0
203,2744118.0,19432040,133721,19067919,230400
204,1356506.0,17624504,64289,17560215,0
205,3317931.0,21844308,161896,21452012,230400
206,4814884.0,2113506,237868,1875638,0
207,1128055.0,15901980,52637,15849343,0
208,2783231.0,14826860,135634,14691226,0
209,4768374.0,9196958,236272,8730286,230400
210,5317364.0,25477362,262900,24753662,460800
211,4208701.0,26633808,207230,26196178,230400
212,2435368.0,26703874,117867,26586007,0
213,4909967.0,29937704,242291,29695413,0
214,1588822.0,2665086,75592,2589494,0
215,4223759.0,6128803,207779,5690624,230400
216,5189727.0,32312396,255765,31826231,230400
217,2378629.0,19563492,115229,19448263,0
218,4909556.0,11007573,244172,10533001,230400
219,2757682.0,30549604,134182,30415422,0
220,2846500.0,15733771,139144,15364227,230400
221,1911582.0,29745588,91392,29654196,0
222,4331354.0,11863080,213865,11649215,0
223,2628206.0,23852214,127765,23724449,0
224,1971045.0,12926721,95099,12831622,0
