instanceId,costs,duration,effective,waiting,offTime
0,6408.0,3956,356,3600,0
1,10710.0,27729,595,27134,0
2,8748.0,4110,486,3624,0
3,4086.0,15014,227,14787,0
4,3474.0,26083,193,25890,0
5,9072.0,130245,504,129741,0
6,40986.0,13193,2277,10916,0
7,13536.0,19817,752,19065,0
8,2664.0,32293,148,32145,0
9,20358.0,31261,1131,30130,0
10,2502.0,15153,139,15014,0
11,6876.0,13485,382,13103,0
12,3816.0,8117,212,7905,0
13,4320.0,13920,240,13680,0
14,12744.0,12263,708,11555,0
15,11520.0,5673,640,5033,0
16,2340.0,24199,130,24069,0
17,7308.0,37327,406,36921,0
18,9036.0,30130,502,29628,0
19,3834.0,40447,213,40234,0
20,3312.0,28755,184,28571,0
21,6840.0,33393,380,33013,0
22,5400.0,55713,300,55413,0
23,3276.0,41402,182,41220,0
24,6264.0,48420,348,48072,0
25,1368.0,205304,76,205228,0
26,120168.0,10950,6676,4274,0
27,3042.0,29628,169,29459,0
28,14670.0,232027,815,231212,0
29,4932.0,6988,274,6714,0
30,28386.0,77770,1577,76193,0
31,3564.0,42438,198,42240,0
32,2952.0,4274,164,4110,0
33,5778.0,56034,321,55713,0
34,13716.0,84702,762,83940,0
35,98028.0,169663,5446,164217,0
36,3744.0,36507,208,36299,0
37,9450.0,14445,525,13920,0
38,54720.0,104440,3040,101400,0
39,23832.0,17246,1324,15922,0
40,52902.0,65839,2939,62900,0
41,4158.0,38956,231,38725,0
42,26388.0,47897,1466,46431,0
43,4086.0,53424,227,53197,0
44,61632.0,129768,3424,126344,0
45,14706.0,56772,817,55955,0
46,8550.0,29459,475,28984,0
47,15174.0,33698,843,32855,0
48,14472.0,10644,804,9840,0
49,6732.0,38471,374,38097,0
50,95688.0,71153,5316,65837,0
51,39474.0,207408,2193,205215,0
52,35874.0,162262,1993,160269,0
53,6390.0,20172,355,19817,0
54,1422.0,231022,79,230943,0
55,259578.0,205232,14421,190811,0
56,18396.0,89490,1022,88468,0
57,57438.0,160353,3191,157162,0
58,5328.0,46386,296,46090,0
59,31842.0,135247,1769,133478,0
60,3780.0,37947,210,37737,0
61,10530.0,235778,585,235193,0
62,5292.0,26377,294,26083,0
63,14598.0,248356,811,247545,0
64,2628.0,24345,146,24199,0
65,58122.0,235254,3229,232025,0
66,11178.0,35929,621,35308,0
67,6750.0,44033,375,43658,0
68,6354.0,28390,353,28037,0
69,4716.0,20783,262,20521,0
70,2268.0,36299,126,36173,0
71,64314.0,138777,3573,135204,0
72,70848.0,88564,3936,84628,0
73,2322.0,40234,129,40105,0
74,7776.0,51511,432,51079,0
75,2952.0,50949,164,50785,0
76,8100.0,7905,450,7455,0
77,8460.0,172804,470,172334,0
78,6156.0,21388,342,21046,0
79,6984.0,8505,388,8117,0
80,131094.0,152550,7283,145267,0
81,2574.0,38090,143,37947,0
82,4464.0,33013,248,32765,0
83,4248.0,20483,236,20247,0
84,10206.0,50146,567,49579,0
85,7110.0,15694,395,15299,0
86,5112.0,31545,284,31261,0
87,16848.0,22686,936,21750,0
88,4284.0,31944,238,31706,0
89,3546.0,32490,197,32293,0
90,153936.0,112936,8552,104384,0
91,3078.0,40105,171,39934,0
92,3258.0,26900,181,26719,0
93,158742.0,32369,8819,23550,0
94,5976.0,212999,332,212667,0
95,64566.0,156070,3587,152483,0
96,18972.0,208433,1054,207379,0
97,1584.0,172448,88,172360,0
98,9702.0,43056,539,42517,0
99,6606.0,37737,367,37370,0
100,3924.0,35308,218,35090,0
101,9414.0,16724,523,16201,0
102,68652.0,273186,3814,269372,0
103,1386.0,156128,77,156051,0
104,4122.0,28984,229,28755,0
105,5670.0,26692,315,26377,0
106,23418.0,81209,1301,79908,0
107,18846.0,18293,1047,17246,0
108,6318.0,25284,351,24933,0
109,61020.0,145361,3390,141971,0
110,9972.0,45073,554,44519,0
111,3636.0,54395,202,54193,0
112,161658.0,42599,8981,33618,0
113,64980.0,239369,3610,235759,0
114,1350.0,112973,75,112898,0
115,3276.0,27082,182,26900,0
116,5094.0,231258,283,230975,0
117,4338.0,13059,241,12818,0
118,40554.0,79942,2253,77689,0
119,3906.0,18838,217,18621,0
120,37062.0,164260,2059,162201,0
121,3528.0,6714,196,6518,0
122,12150.0,43113,675,42438,0
123,185418.0,226134,10301,215833,0
124,20340.0,83440,1130,82310,0
125,9774.0,52310,543,51767,0
126,112140.0,62934,6230,56704,0
127,92988.0,76197,5166,71031,0
128,54882.0,212734,3049,209685,0
129,49284.0,46627,2738,43889,0
130,12996.0,34567,722,33845,0
131,4590.0,45809,255,45554,0
132,8658.0,45554,481,45073,0
133,5598.0,21750,311,21439,0
134,231516.0,265407,12862,252545,0
135,2898.0,53585,161,53424,0
136,6462.0,39812,359,39453,0
137,50850.0,125425,2825,122600,0
138,3978.0,53806,221,53585,0
139,59976.0,142077,3332,138745,0
140,4590.0,40747,255,40492,0
141,50616.0,16255,2812,13443,0
142,2844.0,9146,158,8988,0
143,3870.0,23705,215,23490,0
144,33768.0,171952,1876,170076,0
145,3348.0,44219,186,44033,0
146,4878.0,50417,271,50146,0
147,52146.0,269381,2897,266484,0
148,4338.0,13680,241,13439,0
149,2394.0,36701,133,36568,0
150,102744.0,23609,5708,17901,0
151,1422.0,130272,79,130193,0
152,3744.0,19065,208,18857,0
153,2556.0,44410,142,44268,0
154,5922.0,54193,329,53864,0
155,77922.0,252610,4329,248281,0
156,52110.0,215845,2895,212950,0
157,3726.0,22975,207,22768,0
158,7038.0,42240,391,41849,0
159,9414.0,35090,523,34567,0
160,175176.0,122654,9732,112922,0
161,4356.0,43658,242,43416,0
162,21888.0,157240,1216,156024,0
163,6552.0,24069,364,23705,0
164,89118.0,230988,4951,226037,0
165,8586.0,48897,477,48420,0
166,6624.0,33761,368,33393,0
167,4734.0,21046,263,20783,0
168,2340.0,51079,130,50949,0
169,7344.0,7396,408,6988,0
170,3978.0,10932,221,10711,0
171,16056.0,55296,892,54404,0
172,4104.0,50645,228,50417,0
173,16632.0,43944,924,43020,0
174,3564.0,27927,198,27729,0
175,5004.0,23253,278,22975,0
176,10584.0,24933,588,24345,0
177,86274.0,247648,4793,242855,0
178,2754.0,18451,153,18298,0
179,14022.0,53089,779,52310,0
180,17280.0,126357,960,125397,0
181,7416.0,5033,412,4621,0
182,59688.0,133575,3316,130259,0
183,20448.0,82315,1136,81179,0
184,2394.0,15861,133,15728,0
185,3114.0,38696,173,38523,0
186,24588.0,209755,1366,208389,0
187,8946.0,39453,497,38956,0
188,4626.0,14702,257,14445,0
189,3636.0,4497,202,4295,0
190,4482.0,12782,249,12533,0
191,16686.0,101417,927,100490,0
192,3636.0,12465,202,12263,0
193,3582.0,49579,199,49380,0
194,9558.0,83945,531,83414,0
195,4212.0,49277,234,49043,0
196,198378.0,100492,11021,89471,0
197,11178.0,11553,621,10932,0
198,65376.0,242971,3632,239339,0
199,12474.0,32947,693,32254,0
200,11718.0,6420,651,5769,0
201,68706.0,50377,3817,46560,0
202,8496.0,170128,472,169656,0
203,3960.0,36921,220,36701,0
204,15156.0,266157,842,265315,0
205,326808.0,190915,18156,172759,0
206,5076.0,9773,282,9491,0
207,4950.0,32765,275,32490,0
208,22950.0,17966,1275,16691,0
209,6624.0,8873,368,8505,0
210,2628.0,15299,146,15153,0
211,10674.0,25877,593,25284,0
212,4644.0,13439,258,13181,0
213,3834.0,40960,213,40747,0
214,54576.0,279375,3032,276343,0
215,7218.0,266542,401,266141,0
216,4392.0,36173,244,35929,0
217,4680.0,41220,260,40960,0
218,5058.0,46090,281,45809,0
219,58932.0,276430,3274,273156,0
220,6174.0,41849,343,41506,0
221,4266.0,23490,237,23253,0
222,101646.0,55957,5647,50310,0
223,8010.0,172368,445,171923,0
224,4608.0,51767,256,51511,0
