instanceId;costs;duration;effective;waiting;offTime
0;4863653.0;244165;240565;3600;0
1;2072579.0;32976824;98183;32648241;230400
2;1403534.0;276300;65964;210336;0
3;1805449.0;26748988;85479;26663509;0
4;3372860.0;14145996;165459;13750137;230400
5;4760728.0;15328995;236008;14862587;230400
6;1707087.0;19607952;81332;19526620;0
7;2609751.0;22753968;125587;22628381;0
8;2773084.0;843163;134435;708728;0
9;3993584.0;32145872;195135;31720337;230400
10;2594882.0;13993195;126311;13866884;0
11;828003.0;9784130;37592;9746538;0
12;2287624.0;24440976;110674;24330302;0
13;4451028.0;28455776;220338;27774638;460800
14;4281235.0;31075552;209305;30866247;0
15;2884570.0;22524428;141500;22382928;0
16;5295100.0;25476544;261608;24754136;460800
17;2149485.0;28077964;102946;27975018;0
18;2405950.0;6197029;116132;6080897;0
19;793598.0;9769590;36000;9733590;0
20;2895574.0;14826860;140493;14686367;0
21;3066268.0;3676967;150179;3296388;230400
22;4678834.0;6350788;231485;6119303;0
23;1057196.0;1957255;49104;1908151;0
24;3543911.0;3351445;174254;2946791;230400
25;4106010.0;5157917;203174;4724343;230400
26;4758619.0;2112199;234753;1877446;0
27;4311828.0;29303570;212268;29091302;0
28;2836488.0;15416192;138792;15277400;0
29;2683505.0;30944222;128912;30815310;0
30;2321680.0;6825872;113315;6482157;230400
31;4606380.0;8704939;228606;8476333;0
32;3025019.0;370072;147998;222074;0
33;4341268.0;1935283;214530;1490353;230400
34;2248486.0;12381736;109026;12272710;0
35;2332866.0;7001661;112617;6889044;0
36;3258716.0;14245755;159251;14086504;0
37;4535958.0;1563252;224334;1108518;230400
38;2437202.0;12165017;118319;11585898;460800
39;5219851.0;33458732;257703;33201029;0
40;4188587.0;26268532;206069;26062463;0
41;3722411.0;10536057;183649;10352408;0
42;1500407.0;3070812;70662;3000150;0
43;4361837.0;22434568;215847;21988321;230400
44;2199595.0;34043428;104919;33708109;230400
45;1090150.0;31792220;49323;31512497;230400
46;2088118.0;15170603;99530;14840673;230400
47;3076773.0;31534666;150011;31154255;230400
48;1001158.0;5682137;46159;5635978;0
49;4115877.0;33986116;200886;33554830;230400
50;1006496.0;11104196;45991;11058205;0
51;5294291.0;6755945;262093;6263452;230400
52;844368.0;28468008;37743;28430265;0
53;2275737.0;2624233;109312;2514921;0
54;2674379.0;5763548;130436;5633112;0
55;2427654.0;13915724;117963;13336961;460800
56;2330095.0;27958288;112680;27845608;0
57;1125211.0;20161468;52153;20109315;0
58;4164169.0;2478728;205967;2042361;230400
59;1848203.0;23063782;88162;22975620;0
60;1288508.0;20060878;60472;20000406;0
61;3497877.0;31640666;170572;31470094;0
62;2657556.0;24374924;128939;24245985;0
63;2511626.0;8075480;121908;7953572;0
64;4414105.0;15877298;217945;15659353;0
65;1193906.0;1413647;54620;1359027;0
66;4271786.0;20787506;210791;20576715;0
67;2797699.0;2561389;135917;2425472;0
68;2642610.0;32384804;127165;32257639;0
69;2425158.0;31745512;116425;31629087;0
70;1539690.0;1390623;73633;1316990;0
71;4828221.0;29935984;238057;29697927;0
72;3759558.0;27830344;185079;27414865;230400
73;2772440.0;17286926;135972;17150954;0
74;852621.0;17761618;38353;17723265;0
75;3592917.0;17200592;177290;16792902;230400
76;2163409.0;4870054;104321;4304933;460800
77;4826597.0;9757174;238801;9057573;460800
78;4475997.0;32925060;219360;32475300;230400
79;3426502.0;20891938;167466;20724472;0
80;5290650.0;9957426;261322;9696104;0
81;2747977.0;33288652;133727;32694125;460800
82;1154301.0;25072354;52661;25019693;0
83;2412758.0;7373564;117097;7256467;0
84;1297674.0;17747740;61312;17686428;0
85;2652341.0;11085396;129094;10956302;0
86;1847861.0;12727660;88619;12408641;230400
87;4760509.0;17084548;235222;16618926;230400
88;2667419.0;15984491;130516;15853975;0
89;3782096.0;30467830;185246;30282584;0
90;1251305.0;27857592;58264;27799328;0
91;2580472.0;17590848;124533;17235915;230400
92;2497254.0;20137782;122055;20015727;0
93;4784538.0;13472484;236919;13235565;0
94;1869869.0;16550449;88972;16461477;0
95;4155629.0;18309856;205077;18104779;0
96;1117219.0;14575746;52277;14523469;0
97;2383021.0;18380748;115961;18264787;0
98;3995493.0;4285350;196828;3858122;230400
99;4569549.0;12871640;224152;12647488;0
100;4544271.0;21388398;224510;21163888;0
101;1791394.0;14550396;85937;14234059;230400
102;2440900.0;26703874;118077;26585797;0
103;2327359.0;12447082;112152;12334930;0
104;4106926.0;5005255;203110;4802145;0
105;5068735.0;18774420;249639;18294381;230400
106;2625450.0;21513084;127867;21385217;0
107;1356362.0;23016072;63660;22722012;230400
108;1680430.0;3192562;80055;3112507;0
109;1593693.0;8550480;76243;8243837;230400
110;3257594.0;8177983;159929;8018054;0
111;4671006.0;12316708;230466;12086242;0
112;4781407.0;25757000;236512;25520488;0
113;1138935.0;14271053;53352;14217701;0
114;1821861.0;24925504;87442;24838062;0
115;1203317.0;12942131;52861;12889270;0
116;2379762.0;19563492;115396;19448096;0
117;2116597.0;34097192;100396;33996796;0
118;2385501.0;24296830;114966;24181864;0
119;1734237.0;22060354;82695;21977659;0
120;4121484.0;10415627;203160;9751667;460800
121;4558379.0;24230036;224826;23774810;230400
122;975841.0;5022429;44475;4977954;0
123;1761738.0;14039901;84118;13955783;0
124;3512247.0;20569770;171540;20167830;230400
125;1991527.0;14885459;96783;14788676;0
126;2630635.0;10612540;127546;10484994;0
127;4242222.0;3035155;209893;2594862;230400
128;4906642.0;762547;242877;289270;230400
129;4016392.0;3927584;197706;3729878;0
130;2626494.0;3149311;127731;3021580;0
131;4517247.0;28614572;222694;28391878;0
132;2510256.0;21198324;122504;20845420;230400
133;2833781.0;26835352;138318;26697034;0
134;3736223.0;16502430;184271;16318159;0
135;4345687.0;13315006;214672;12869934;230400
136;3867130.0;3799494;189995;3609499;0
137;3611879.0;18890928;178164;18482364;230400
138;5196519.0;11557997;257996;11069601;230400
139;4638650.0;28761104;227851;28302853;230400
140;4442929.0;4578903;218500;4130003;230400
141;1588150.0;31678414;74885;31603529;0
142;2182444.0;13613636;105382;13508254;0
143;5237170.0;22015640;259133;21526107;230400
144;1719595.0;24968568;81551;24887017;0
145;3360259.0;8809418;164797;8644621;0
146;3229060.0;32709546;156664;32322482;230400
147;2858517.0;25051020;138262;24912758;0
148;1401207.0;27890980;65922;27825058;0
149;1085525.0;33474084;48431;33425653;0
150;5344868.0;29165940;264091;28441049;460800
151;2587759.0;5463827;125491;5107936;230400
152;4522936.0;26980564;222668;26757896;0
153;5139719.0;27479888;253890;27225998;0
154;1748483.0;11152603;84011;11068592;0
155;5002550.0;16382384;248198;15903786;230400
156;3999257.0;19020124;197262;18592462;230400
157;3922185.0;20011460;193346;19587714;230400
158;4551309.0;16699122;224703;16474419;0
159;5239192.0;7874128;259399;7384329;230400
160;3489615.0;23774396;170284;23373712;230400
161;5116648.0;32311184;252316;31828468;230400
162;2666391.0;20648900;129597;20519303;0
163;2398764.0;7470032;115345;7354687;0
164;3205120.0;19119022;156969;18962053;0
165;1272334.0;7403088;59640;7343448;0
166;2302837.0;30870366;110591;30298975;460800
167;1725534.0;21434208;82545;21351663;0
168;3829051.0;18174962;188264;17756298;230400
169;4262620.0;31211292;209666;31001626;0
170;5116417.0;23234428;253631;22980797;0
171;4228180.0;6128803;207994;5690409;230400
172;1676309.0;19654252;80535;19573717;0
173;5043863.0;29697004;248755;29217849;230400
174;5059368.0;11722268;250059;11472209;0
175;3614383.0;30277980;176982;29870598;230400
176;2177856.0;28019656;105314;27914342;0
177;3439219.0;6935359;169159;6766200;0
178;2919049.0;23667882;143064;23064018;460800
179;3687638.0;24875824;181196;24464228;230400
180;3282808.0;27311912;160537;26690575;460800
181;2146817.0;19494530;104245;19390285;0
182;2166060.0;17822652;104403;17718249;0
183;4655684.0;1227640;230502;766738;230400
184;4026946.0;8001706;198233;7803473;0
185;1232248.0;30576276;57330;30058146;460800
186;4729869.0;22681440;234287;22447153;0
187;5031700.0;14743517;249321;14494196;0
188;2630034.0;30350128;126239;30223889;0
189;1113222.0;5487544;51712;5435832;0
190;3373375.0;8508218;163780;8114038;230400
191;4472680.0;26135032;221513;25683119;230400
192;4791492.0;33630964;236602;33394362;0
193;4051148.0;25599938;197735;25402203;0
194;3608490.0;23346600;177058;23169542;0
195;5241614.0;5662533;259999;5402534;0
196;2426669.0;20231604;117419;19883785;230400
197;5200321.0;9368148;257638;8880110;230400
198;1815935.0;3238750;86333;3152417;0
199;4589778.0;4437530;227430;4210100;0
200;2721009.0;32785192;130860;32423932;230400
201;2667479.0;13551645;129810;13421835;0
202;3124579.0;10053981;153073;9900908;0
203;2744118.0;19432040;133721;19067919;230400
204;1356506.0;17624504;64289;17560215;0
205;3308806.0;21844308;161531;21452377;230400
206;3808426.0;1350682;188011;1162671;0
207;1128055.0;15901980;52637;15849343;0
208;1054480.0;20030864;48205;19982659;0
209;4758958.0;9196102;235416;8730286;230400
210;1368694.0;31773828;63138;31710690;0
211;4194826.0;26633808;206675;26196733;230400
212;1605854.0;21239366;76322;21163044;0
213;1453436.0;29779192;68026;29711166;0
214;1588822.0;2665086;75592;2589494;0
215;2462923.0;7302679;119026;6953253;230400
216;2977171.0;17716556;145572;17570984;0
217;2908692.0;24528512;141728;24386784;0
218;4896719.0;11006406;243005;10533001;230400
219;2716707.0;30549604;132543;30417061;0
220;2846500.0;15733771;139144;15364227;230400
221;1886957.0;29745588;90407;29655181;0
222;4328154.0;11863080;213737;11649343;0
223;2613331.0;23852214;127170;23725044;0
224;1971045.0;12926721;95099;12831622;0
