type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload
Role_12,4.9353948E7,4.9353948E7,4.9353948E7,4.9353948E7,4.9353948E7,4.9353948E7,2.4676974E8,4187064.0,4291962.0,4215199.0,4193826.0,4223010.0,4222212.2,2.1111061E7,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,1.370943E7,1.5270744297902976,1.56533203787466,1.5373356149745103,1.5295406154741664,1.540184384033472,1.5398934164294211,7.699467082147105,Carmen Finacse,4.9353948E7,4291962,2741886,1.56533203787466,Esmeralda Clay,4.9353948E7,4187064,2741886,1.5270744297902976,Karen Clarens,4.9353948E7,4223010,2741886,1.540184384033472,Kiu Kan,4.9353948E7,4193826,2741886,1.5295406154741664,Sean Manney,4.9353948E7,4215199,2741886,1.5373356149745103
Role_13,6.854715E7,6.854715E7,6.854715E7,6.854715E7,6.854715E7,6.854715E7,3.4273575E8,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,13500.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,1.370943E7,9.847236537186448E-4,9.847236537186448E-4,9.847236537186448E-4,9.847236537186448E-4,9.847236537186448E-4,9.847236537186448E-4,0.004923618268593224,Miu Hanwan,6.854715E7,2700,2741886,9.847236537186448E-4,Fjodor Kowalski,6.854715E7,2700,2741886,9.847236537186448E-4,Anne Olwada,6.854715E7,2700,2741886,9.847236537186448E-4,Immanuel Karagianni,6.854715E7,2700,2741886,9.847236537186448E-4,Elvira Lores,6.854715E7,2700,2741886,9.847236537186448E-4
Role_10,6.854715E7,6.854715E7,6.854715E7,6.854715E7,6.854715E7,6.854715E7,2.0564145E8,41128.0,43661.0,43030.0,41128.0,43661.0,42606.333333333336,127819.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,8225658.0,0.014999894233385342,0.015923710905559166,0.015693577340560476,0.014999894233385342,0.015923710905559166,0.015539060826501661,0.046617182479504984,Karel de Groot,6.854715E7,43661,2741886,0.015923710905559166,Magdalena Predutta,6.854715E7,43030,2741886,0.015693577340560476,Francois de Perrier,6.854715E7,41128,2741886,0.014999894233385342,,,,,,,,,,
Role_11,4.9353948E7,4.9353948E7,4.9353948E7,4.9353948E7,4.9353948E7,4.9353948E7,2.4676974E8,48970.0,56572.0,50815.0,49548.0,55820.0,52345.0,261725.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,1.370943E7,0.017859969378741493,0.02063251353265599,0.018532863875449234,0.01807077318313015,0.02035824975947213,0.019090873945889802,0.09545436972944901,Carmen Finacse,4.9353948E7,50815,2741886,0.018532863875449234,Esmeralda Clay,4.9353948E7,49548,2741886,0.01807077318313015,Karen Clarens,4.9353948E7,48970,2741886,0.017859969378741493,Kiu Kan,4.9353948E7,56572,2741886,0.02063251353265599,Sean Manney,4.9353948E7,55820,2741886,0.02035824975947213
Role_16,3.0160746E7,3.0160746E7,3.0160746E7,3.0160746E7,3.0160746E7,3.0160746E7,6.0321492E7,30005.0,30399.0,30005.0,30005.0,30399.0,30202.0,60404.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,5483772.0,0.010943197492528865,0.01108689420347892,0.010943197492528865,0.010943197492528865,0.01108689420347892,0.011015045848003892,0.022030091696007784,Pedro Alvares,3.0160746E7,30005,2741886,0.010943197492528865,Karalda Nimwada,3.0160746E7,30399,2741886,0.01108689420347892,,,,,,,,,,,,,,,
Role_17,3.0160746E7,3.0160746E7,3.0160746E7,3.0160746E7,3.0160746E7,3.0160746E7,6.0321492E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,5483772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Alvares,3.0160746E7,0,2741886,0.0,Karalda Nimwada,3.0160746E7,0,2741886,0.0,,,,,,,,,,,,,,,
Role_14,6.854715E7,6.854715E7,6.854715E7,6.854715E7,6.854715E7,6.854715E7,2.0564145E8,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,8225658.0,0.0016412060895310747,0.0016412060895310747,0.0016412060895310747,0.0016412060895310747,0.0016412060895310747,0.0016412060895310747,0.004923618268593224,Karel de Groot,6.854715E7,4500,2741886,0.0016412060895310747,Magdalena Predutta,6.854715E7,4500,2741886,0.0016412060895310747,Francois de Perrier,6.854715E7,4500,2741886,0.0016412060895310747,,,,,,,,,,
Role_15,4.9353948E7,4.9353948E7,4.9353948E7,4.9353948E7,4.9353948E7,4.9353948E7,2.4676974E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,1.370943E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carmen Finacse,4.9353948E7,0,2741886,0.0,Esmeralda Clay,4.9353948E7,0,2741886,0.0,Karen Clarens,4.9353948E7,0,2741886,0.0,Kiu Kan,4.9353948E7,0,2741886,0.0,Sean Manney,4.9353948E7,0,2741886,0.0
Role_9,6.854715E7,6.854715E7,6.854715E7,6.854715E7,6.854715E7,6.854715E7,2.0564145E8,2489035.0,2511421.0,2496400.0,2489035.0,2511421.0,2498952.0,7496856.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,8225658.0,0.9077820886791063,0.9159465419058269,0.9104681959789721,0.9077820886791063,0.9159465419058269,0.9113989421879684,2.734196826563905,Karel de Groot,6.854715E7,2511421,2741886,0.9159465419058269,Magdalena Predutta,6.854715E7,2496400,2741886,0.9104681959789721,Francois de Perrier,6.854715E7,2489035,2741886,0.9077820886791063,,,,,,,,,,
Role_5,6.854715E7,6.854715E7,6.854715E7,6.854715E7,6.854715E7,6.854715E7,2.0564145E8,102501.0,106779.0,104818.0,102501.0,106779.0,104699.33333333333,314098.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,2741886.0,8225658.0,0.037383392307338816,0.038943632229786355,0.03822843108721515,0.037383392307338816,0.038943632229786355,0.03818515187478011,0.11455545562434033,Karel de Groot,6.854715E7,106779,2741886,0.038943632229786355,Magdalena Predutta,6.854715E7,102501,2741886,0.037383392307338816,Francois de Perrier,6.854715E7,104818,2741886,0.03822843108721515,,,,,,,,,,
