type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload
Role_12,4.9273164E7,4.9273164E7,4.9273164E7,4.9273164E7,4.9273164E7,4.9273164E7,2.4636582E8,4172217.0,4291962.0,4211513.0,4193826.0,4241543.0,4222212.2,2.1111061E7,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,1.368699E7,1.5241543246542886,1.5678984203247026,1.5385095627307392,1.5320483174167585,1.5494798344997696,1.5424180919252515,7.712090459626258,Carmen Finacse,4.9273164E7,4291962,2737398,1.5678984203247026,Esmeralda Clay,4.9273164E7,4241543,2737398,1.5494798344997696,Karen Clarens,4.9273164E7,4172217,2737398,1.5241543246542886,Kiu Kan,4.9273164E7,4193826,2737398,1.5320483174167585,Sean Manney,4.9273164E7,4211513,2737398,1.5385095627307392,,,,,,,,,,
Role_13,6.843495E7,6.843495E7,6.843495E7,6.843495E7,6.843495E7,6.843495E7,4.7904465E8,1920.0,1980.0,1920.0,1920.0,1920.0,1928.5714285714287,13500.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,1.9161786E7,7.013959972207184E-4,7.233146221338658E-4,7.013959972207184E-4,7.013959972207184E-4,7.013959972207184E-4,7.04527229351168E-4,0.004931690605458176,Clement Duchot,6.843495E7,1980,2737398,7.233146221338658E-4,Miu Hanwan,6.843495E7,1920,2737398,7.013959972207184E-4,Fjodor Kowalski,6.843495E7,1920,2737398,7.013959972207184E-4,Tesca Lobes,6.843495E7,1920,2737398,7.013959972207184E-4,Anne Olwada,6.843495E7,1920,2737398,7.013959972207184E-4,Immanuel Karagianni,6.843495E7,1920,2737398,7.013959972207184E-4,Elvira Lores,6.843495E7,1920,2737398,7.013959972207184E-4
Role_10,6.843495E7,6.843495E7,6.843495E7,6.843495E7,6.843495E7,6.843495E7,2.0530485E8,41694.0,43437.0,42688.0,41694.0,43437.0,42606.333333333336,127819.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,8212194.0,0.015231252452146161,0.015867988505873096,0.015594371004873972,0.015231252452146161,0.015867988505873096,0.015564537320964411,0.04669361196289323,Karel de Groot,6.843495E7,43437,2737398,0.015867988505873096,Magdalena Predutta,6.843495E7,42688,2737398,0.015594371004873972,Francois de Perrier,6.843495E7,41694,2737398,0.015231252452146161,,,,,,,,,,,,,,,,,,,,
Role_11,4.9273164E7,4.9273164E7,4.9273164E7,4.9273164E7,4.9273164E7,4.9273164E7,2.4636582E8,50763.0,54688.0,51498.0,51432.0,53344.0,52345.0,261725.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,1.368699E7,0.0185442526077684,0.019978095987503462,0.018812755762954457,0.018788645275549992,0.01948711878944896,0.019122173684645055,0.09561086842322528,Carmen Finacse,4.9273164E7,50763,2737398,0.0185442526077684,Esmeralda Clay,4.9273164E7,51432,2737398,0.018788645275549992,Karen Clarens,4.9273164E7,51498,2737398,0.018812755762954457,Kiu Kan,4.9273164E7,54688,2737398,0.019978095987503462,Sean Manney,4.9273164E7,53344,2737398,0.01948711878944896,,,,,,,,,,
Role_16,3.0111378E7,3.0111378E7,3.0111378E7,3.0111378E7,3.0111378E7,3.0111378E7,6.0222756E7,29772.0,30632.0,29772.0,29772.0,30632.0,30202.0,60404.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,5474796.0,0.010876021681903764,0.01119018863899221,0.010876021681903764,0.010876021681903764,0.01119018863899221,0.011033105160447986,0.022066210320895972,Pedro Alvares,3.0111378E7,29772,2737398,0.010876021681903764,Karalda Nimwada,3.0111378E7,30632,2737398,0.01119018863899221,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,3.0111378E7,3.0111378E7,3.0111378E7,3.0111378E7,3.0111378E7,3.0111378E7,6.0222756E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,5474796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Alvares,3.0111378E7,0,2737398,0.0,Karalda Nimwada,3.0111378E7,0,2737398,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Role_14,6.843495E7,6.843495E7,6.843495E7,6.843495E7,6.843495E7,6.843495E7,2.0530485E8,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,8212194.0,0.0016438968684860586,0.0016438968684860586,0.0016438968684860586,0.0016438968684860586,0.0016438968684860586,0.0016438968684860586,0.004931690605458176,Karel de Groot,6.843495E7,4500,2737398,0.0016438968684860586,Magdalena Predutta,6.843495E7,4500,2737398,0.0016438968684860586,Francois de Perrier,6.843495E7,4500,2737398,0.0016438968684860586,,,,,,,,,,,,,,,,,,,,
Role_15,4.9273164E7,4.9273164E7,4.9273164E7,4.9273164E7,4.9273164E7,4.9273164E7,2.4636582E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,1.368699E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carmen Finacse,4.9273164E7,0,2737398,0.0,Esmeralda Clay,4.9273164E7,0,2737398,0.0,Karen Clarens,4.9273164E7,0,2737398,0.0,Kiu Kan,4.9273164E7,0,2737398,0.0,Sean Manney,4.9273164E7,0,2737398,0.0,,,,,,,,,,
Role_9,6.843495E7,6.843495E7,6.843495E7,6.843495E7,6.843495E7,6.843495E7,2.0530485E8,2489035.0,2508221.0,2499600.0,2489035.0,2508221.0,2498952.0,7496856.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,8212194.0,0.9092704093449326,0.9162792549713268,0.9131299138817227,0.9092704093449326,0.9162792549713268,0.9128931927326608,2.7386795781979822,Karel de Groot,6.843495E7,2508221,2737398,0.9162792549713268,Magdalena Predutta,6.843495E7,2499600,2737398,0.9131299138817227,Francois de Perrier,6.843495E7,2489035,2737398,0.9092704093449326,,,,,,,,,,,,,,,,,,,,
Role_5,6.843495E7,6.843495E7,6.843495E7,6.843495E7,6.843495E7,6.843495E7,2.0530485E8,102601.0,106009.0,105488.0,102601.0,106009.0,104699.33333333333,314098.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,2737398.0,8212194.0,0.037481213911897356,0.038726191806964134,0.038535865080634966,0.037481213911897356,0.038726191806964134,0.03824775693316548,0.11474327079949645,Karel de Groot,6.843495E7,105488,2737398,0.038535865080634966,Magdalena Predutta,6.843495E7,106009,2737398,0.038726191806964134,Francois de Perrier,6.843495E7,102601,2737398,0.037481213911897356,,,,,,,,,,,,,,,,,,,,
