instanceId,costs,duration,effective,waiting,offTime
0,2022344.0,5537399,89637,5447762,0
1,4969177.0,6870532,243419,6627113,0
2,4628952.0,255576,231741,23835,0
3,3387621.0,6290951,162703,6128248,0
4,3609103.0,5552002,173648,5378354,0
5,2628967.0,888034,123437,764597,0
6,4015320.0,4861208,193140,4437668,230400
7,3892822.0,2001144,201004,1800140,0
8,1903677.0,978016,82430,895586,0
9,4810225.0,1449560,242547,1207013,0
10,1485244.0,1439274,68346,1370928,0
11,3122442.0,4844885,151461,4463024,230400
12,4701127.0,1964305,232985,1500920,230400
13,1756979.0,1923922,74607,1849315,0
14,2250528.0,3101941,105940,2765601,230400
15,4015890.0,644645,199724,214521,230400
16,2674903.0,1284727,127083,1157644,0
17,3622583.0,2670673,186300,2484373,0
18,2091605.0,3700259,101183,3599076,0
19,4559112.0,5777942,224489,5323053,230400
20,1848348.0,4518559,83737,4434822,0
21,2202716.0,5640999,105364,5305235,230400
22,1438838.0,3655002,66996,3357606,230400
23,3200936.0,6419748,155533,6264215,0
24,2365522.0,5002326,109552,4892774,0
25,1724626.0,704073,82544,621529,0
26,3049928.0,1274635,145327,898908,230400
27,2990369.0,1822946,148586,1443960,230400
28,4032566.0,3151366,209053,2711913,230400
29,1146509.0,2767596,53849,2713747,0
30,1963538.0,957168,86160,640608,230400
31,3484060.0,933402,179905,753497,0
32,3410517.0,283972,172030,111942,0
33,2410601.0,2461810,117682,2113728,230400
34,4597012.0,5193100,226459,4966641,0
35,2650283.0,366204,129837,236367,0
36,1074680.0,3905081,49136,3855945,0
37,3754819.0,6768659,190498,6347761,230400
38,4607119.0,5779090,226605,5322085,230400
39,2823950.0,1526878,134917,1391961,0
40,2945592.0,2157746,140879,2016867,0
41,4232668.0,5130388,205218,4694770,230400
42,2260489.0,3924875,110812,3814063,0
43,4962591.0,5175461,248461,4696600,230400
44,2718963.0,2078368,131170,1947198,0
45,5066325.0,5813121,252794,5560327,0
46,2315725.0,4951962,111952,4840010,0
47,4585505.0,938850,227199,711651,0
48,3762328.0,3783625,189132,3594493,0
49,3237920.0,4428989,158834,4270155,0
50,2613577.0,6238768,125902,6112866,0
51,4610847.0,6714978,231960,6252618,230400
52,3345855.0,6324721,164245,6160476,0
53,2445646.0,2728394,118831,2609563,0
54,3061188.0,6115143,143366,5741377,230400
55,4400157.0,2095188,213801,1650987,230400
56,3830819.0,826700,188532,638168,0
57,3751334.0,4420132,192651,4227481,0
58,4359660.0,2717011,215077,2501934,0
59,3502844.0,786681,172595,614086,0
60,4404526.0,6839971,224855,6615116,0
61,4170877.0,6842982,202652,6640330,0
62,4251030.0,1402675,214477,1188198,0
63,3885755.0,3297446,190319,3107127,0
64,1731330.0,215691,81181,134510,0
65,3457867.0,2664677,161556,2503121,0
66,3238131.0,3167773,155209,2782164,230400
67,1804082.0,2717069,85982,2400687,230400
68,2903106.0,3249506,139913,3109593,0
69,2474843.0,4395984,112457,4283527,0
70,3355607.0,6398489,155844,6242645,0
71,1506649.0,6318919,68775,6250144,0
72,3014564.0,4379510,143265,4236245,0
73,5264184.0,2519054,260603,2028051,230400
74,3816204.0,6670231,188051,6251780,230400
75,3014909.0,3992400,156746,3835654,0
76,1679197.0,4286486,79575,4206911,0
77,3757765.0,364913,193187,171726,0
78,4128500.0,5207327,203674,5003653,0
79,4490754.0,2110915,229132,1651383,230400
80,3703453.0,5761943,190086,5341457,230400
81,1664103.0,3933313,73657,3629256,230400
82,2877859.0,3052914,145412,2446702,460800
83,2302998.0,1492502,111583,1380919,0
84,3348352.0,4271605,165232,3875973,230400
85,2109472.0,2656433,102334,2554099,0
86,2892663.0,175336,139200,36136,0
87,2607495.0,6701900,119684,6351816,230400
88,2806667.0,3080217,129733,2720084,230400
89,1894529.0,2790240,90004,2469836,230400
90,4298852.0,268595,215904,52691,0
91,1895541.0,6277251,87341,6189910,0
92,2049830.0,884080,87938,565742,230400
93,1695485.0,2754326,75834,2678492,0
94,2105101.0,6718014,89805,6628209,0
95,2836612.0,4885084,136081,4518603,230400
96,3051981.0,3047114,150764,2435550,460800
97,3117406.0,792167,152291,639876,0
98,3975967.0,1343233,208968,903865,230400
99,4885928.0,2510498,242747,2037351,230400
100,4272118.0,1994389,220155,1774234,0
101,2765353.0,3981862,132851,3618611,230400
102,2574736.0,4501845,124381,4377464,0
103,4524951.0,3634918,225395,3179123,230400
104,1561193.0,638254,74751,333103,230400
105,2458874.0,4548808,112290,4436518,0
106,2360247.0,5470720,114820,5125500,230400
107,4652490.0,4903789,234798,4438591,230400
108,2403598.0,3994409,116405,3647604,230400
109,4612896.0,5778839,224411,5554428,0
110,3276984.0,4485961,157012,4328949,0
111,3465918.0,1215777,177214,577763,460800
112,2920911.0,6197088,140317,5826371,230400
113,1682481.0,1938756,72164,1866592,0
114,4501650.0,3393563,222694,3170869,0
115,4038772.0,6317260,200550,6116710,0
116,2678095.0,1409532,126484,1283048,0
117,3853761.0,3823095,188187,3634908,0
118,4171196.0,3335703,214506,3121197,0
119,1325779.0,3648930,57506,3591424,0
120,3836919.0,204615,199573,5042,0
121,2672576.0,722666,129443,593223,0
122,3610128.0,2115761,179320,1936441,0
123,3300424.0,4886069,162840,4492829,230400
124,2598494.0,3259973,118773,3141200,0
125,4329772.0,3211392,218874,2762118,230400
126,1935469.0,5450996,90977,5129619,230400
127,3137799.0,4301166,147759,3923007,230400
128,3221914.0,160069,155865,4204,0
129,4074673.0,4522905,204028,4318877,0
130,1813221.0,6057025,87003,5739622,230400
131,3957510.0,3376132,192071,3184061,0
132,1562541.0,5812484,72761,5739723,0
133,3083456.0,5045030,156990,4888040,0
134,2071285.0,96525,92925,3600,0
135,2880431.0,4991129,140454,4850675,0
136,4204635.0,5494907,206766,5057741,230400
137,3110297.0,6174862,158335,5786127,230400
138,2802831.0,3168939,137337,3031602,0
139,3838754.0,3761897,188675,3573222,0
140,3961259.0,851220,195361,655859,0
141,1863636.0,3909471,88109,3821362,0
142,2105005.0,2568878,99033,2469845,0
143,2285395.0,4332327,104939,4227388,0
144,2123205.0,5631697,102763,5528934,0
145,2201662.0,1569212,101236,1467976,0
146,4267350.0,5582515,212457,5139658,230400
147,2036095.0,2585070,98231,2486839,0
148,3800061.0,2594574,195241,2399333,0
149,1812656.0,6181407,80929,5870078,230400
150,1683443.0,2584432,72137,2512295,0
151,3693263.0,4576444,192576,4383868,0
152,2379274.0,5073088,118783,4954305,0
153,1690776.0,3905143,80697,3824446,0
154,4008486.0,1343035,199362,913273,230400
155,2324512.0,6343519,112208,6231311,0
156,2470910.0,3705719,125102,3350217,230400
157,4428024.0,2529517,217769,2081348,230400
158,3487174.0,3244942,180390,3064552,0
159,2128121.0,2158556,99077,2059479,0
160,2443964.0,4928671,117502,4811169,0
161,4327074.0,6164964,217834,5716730,230400
162,3958514.0,866074,195273,670801,0
163,4323147.0,1953675,217349,1505926,230400
164,2350908.0,1426026,114675,1311351,0
165,3978919.0,369369,200153,169216,0
166,4643055.0,653301,229869,193032,230400
167,2606202.0,3866407,128450,3737957,0
168,2295301.0,6219002,110435,6108567,0
169,4585975.0,4991417,225617,4765800,0
170,4199139.0,6305713,205683,6100030,0
171,2312125.0,5618714,111885,5506829,0
172,3231356.0,1355690,150087,1205603,0
173,3946016.0,5615138,192235,5422903,0
174,2987036.0,3860937,148291,3712646,0
175,1932781.0,5570888,87538,5483350,0
176,4096906.0,5638233,212132,5426101,0
177,1976662.0,696599,91749,604850,0
178,3751449.0,2443306,196865,2016041,230400
179,1733110.0,5631898,73536,5327962,230400
180,3226464.0,4327737,159244,3938093,230400
181,4873124.0,3863492,241806,3621686,0
182,2298652.0,6788627,108652,6679975,0
183,2896143.0,1575304,145282,1430022,0
184,1799147.0,3639749,81907,3327442,230400
185,2733442.0,6419600,131321,6288279,0
186,5063258.0,6155812,249284,5676128,230400
187,3082308.0,1452187,154798,1297389,0
188,4218685.0,1577591,205417,1372174,0
189,4378362.0,4503533,224040,4279493,0
190,2872662.0,3726796,135776,3591020,0
191,2153407.0,1472706,106556,1366150,0
192,1079840.0,6324010,48860,6275150,0
193,2648014.0,4963038,128574,4834464,0
194,4059087.0,3855894,199631,3656263,0
195,1754359.0,227692,77553,150139,0
196,2915847.0,5509261,141533,5137328,230400
197,3015972.0,6731300,144191,6356709,230400
198,2556803.0,3885113,120446,3764667,0
199,2345826.0,657682,112055,315227,230400
200,2138993.0,277660,92421,185239,0
201,3340580.0,738227,173421,334406,230400
202,2639807.0,3081735,129892,2721443,230400
203,1856120.0,3176930,82054,3094876,0
204,3757740.0,4350944,190303,3930241,230400
205,3502338.0,1249411,179552,609059,460800
206,4605245.0,1842604,233780,1378424,230400
207,4013745.0,2741799,205588,2536211,0
208,2117533.0,674532,95740,578792,0
209,3627612.0,1910941,175586,1504955,230400
210,3685735.0,6154848,179842,5744606,230400
211,2487366.0,2741737,121935,2619802,0
212,2585426.0,3384160,128940,3255220,0
213,3365458.0,2050677,163084,1657193,230400
214,2135168.0,6822366,101575,6720791,0
215,4782543.0,5170188,236374,4933814,0
216,1524240.0,2114022,66969,2047053,0
217,1529568.0,3934905,70041,3864864,0
218,2839561.0,4245058,136825,3647433,460800
219,2876947.0,2526740,134147,2392593,0
220,2489851.0,3639850,120973,3288477,230400
221,2216841.0,2575264,107690,2467574,0
222,1887143.0,5005980,88077,4917903,0
223,2350414.0,963852,116228,847624,0
224,1483817.0,5012846,65873,4716573,230400
